feature,importance
categorical__OCCUPATION_TYPE_Drivers,0.1052466533770893
categorical__ORGANIZATION_TYPE_School,0.10519561673685328
categorical__OCCUPATION_TYPE_Security staff,0.09841367712032187
categorical__OCCUPATION_TYPE_High skill tech staff,0.0976700646527053
categorical__ORGANIZATION_TYPE_Business Entity Type 2,0.09699267475353138
categorical__NAME_CONTRACT_TYPE_Cash loans,0.09658214509890621
numeric__FLOORSMAX_MEDI,0.08974154088753723
"categorical__NAME_TYPE_SUITE_Spouse, partner",0.0883400178664716
categorical__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.08772537297892521
categorical__ORGANIZATION_TYPE_Industry: type 10,0.08709263265145563
categorical__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.08431868278936354
categorical__OCCUPATION_TYPE_Realty agents,0.08409024571429775
categorical__ORGANIZATION_TYPE_Transport: type 4,0.08343685579733656
categorical__WALLSMATERIAL_MODE_Others,0.08289177901497932
numeric__FLAG_DOCUMENT_4,0.08288512031279308
numeric__NONLIVINGAPARTMENTS_MEDI,0.08252678274320858
categorical__OCCUPATION_TYPE_Waiters/barmen staff,0.07678645712437118
categorical__WEEKDAY_APPR_PROCESS_START_MONDAY,0.07367595033844615
numeric__ELEVATORS_MEDI,0.07345774300818789
categorical__WALLSMATERIAL_MODE_Block,0.07235116497329587
categorical__OCCUPATION_TYPE_Managers,0.07213565462998515
numeric__REGION_RATING_CLIENT,0.07209425866780476
categorical__NAME_HOUSING_TYPE_House / apartment,0.07151106966651871
numeric__FLAG_DOCUMENT_6,0.07042921016744322
numeric__FLAG_WORK_PHONE,0.06946220455915544
categorical__FONDKAPREMONT_MODE_org spec account,0.06885460759590156
numeric__COMMONAREA_MODE,0.06883228926372403
categorical__HOUSETYPE_MODE_block of flats,0.06776264971424124
numeric__LANDAREA_AVG,0.06579095518886403
categorical__NAME_HOUSING_TYPE_Municipal apartment,0.06509862341449242
categorical__NAME_HOUSING_TYPE_Rented apartment,0.06509330705591937
numeric__NONLIVINGAREA_MODE,0.06482815092968211
numeric__DAYS_ID_PUBLISH,0.06398293978235368
numeric__REG_CITY_NOT_LIVE_CITY,0.0638162757018487
categorical__NAME_HOUSING_TYPE_With parents,0.05976934971765679
numeric__CNT_CHILDREN,0.0586163922800007
categorical__ORGANIZATION_TYPE_Industry: type 4,0.056025833927854235
numeric__FLAG_DOCUMENT_16,0.05455419330353492
numeric__NONLIVINGAPARTMENTS_AVG,0.05445398257710565
numeric__CNT_FAM_MEMBERS,0.053256508429475394
categorical__NAME_FAMILY_STATUS_Widow,0.05317128559238602
numeric__DAYS_LAST_PHONE_CHANGE,0.05102525785055363
numeric__FLAG_DOCUMENT_13,0.05069278182885053
numeric__AMT_REQ_CREDIT_BUREAU_QRT,0.05068392934569575
numeric__FLAG_DOCUMENT_18,0.048900566583472596
categorical__ORGANIZATION_TYPE_University,0.048632367770962276
numeric__LIVE_REGION_NOT_WORK_REGION,0.047277805965299846
categorical__OCCUPATION_TYPE_Cleaning staff,0.04719133583587224
numeric__ENTRANCES_MODE,0.04706048824072653
numeric__OWN_CAR_AGE,0.043972936902336814
numeric__DEF_60_CNT_SOCIAL_CIRCLE,0.04334397680101382
categorical__OCCUPATION_TYPE_Cooking staff,0.042635680884907295
categorical__NAME_EDUCATION_TYPE_Higher education,0.04259195065729344
categorical__NAME_FAMILY_STATUS_Married,0.04256176369596475
categorical__WALLSMATERIAL_MODE_Panel,0.04217062188148557
numeric__REG_REGION_NOT_WORK_REGION,0.0415800969842503
categorical__ORGANIZATION_TYPE_Industry: type 7,0.04146510125331687
numeric__REG_REGION_NOT_LIVE_REGION,0.04077668417821268
numeric__NONLIVINGAREA_AVG,0.04058374210791688
categorical__NAME_TYPE_SUITE_Family,0.03890475726754148
numeric__REG_CITY_NOT_WORK_CITY,0.0388462845299947
categorical__ORGANIZATION_TYPE_Security,0.03817954602789973
numeric__DEF_30_CNT_SOCIAL_CIRCLE,0.03776171578084081
categorical__NAME_FAMILY_STATUS_Separated,0.03741732762866669
numeric__LIVE_CITY_NOT_WORK_CITY,0.0371371652115156
categorical__NAME_FAMILY_STATUS_Single / not married,0.03665837817532311
numeric__FLAG_DOCUMENT_10,0.03619101931000049
categorical__ORGANIZATION_TYPE_Industry: type 2,0.03533278309990652
numeric__FLOORSMAX_MODE,0.03407477125338904
categorical__NAME_TYPE_SUITE_Group of people,0.03362684651774022
numeric__DAYS_REGISTRATION,0.03322245309301964
categorical__FONDKAPREMONT_MODE_reg oper account,0.03322202009740452
categorical__HOUSETYPE_MODE_specific housing,0.03267647182423816
numeric__FLAG_DOCUMENT_5,0.03238466497860439
categorical__WALLSMATERIAL_MODE_Mixed,0.032234930862720786
numeric__FLAG_DOCUMENT_14,0.031994256051971426
numeric__LANDAREA_MEDI,0.03177198264191214
numeric__FLOORSMIN_MODE,0.0316616523029902
categorical__ORGANIZATION_TYPE_Industry: type 11,0.03137741235145895
numeric__FLAG_DOCUMENT_15,0.03130655869546634
categorical__OCCUPATION_TYPE_Medicine staff,0.030356405946689077
numeric__FLAG_PHONE,0.028883122635745898
