feature,importance
item_popularity_30d,22.547707481847212
item_popularity_7d,12.038987605109506
item_days_since_last_purchase,11.82407034798469
user_average_price,6.269188180283188
from_personal_history,5.145515216653548
item_unique_customers,5.035971870193184
item_average_price,3.4658889120858873
item_total_purchases,3.2673044068663444
personal_history_rank,2.5969251842619214
product_group_name,2.5967111523073187
als_score,2.5634325801048363
user_age,2.5403831750182735
user_days_since_last_purchase,2.4928551999983717
user_online_share,2.420556249321214
user_unique_items,1.8370719004114051
popularity_score,1.5589521735098608
user_garment_group_count,1.2556248012624167
als_rank,1.1901382633388056
product_type_name,1.1832271776398615
days_since_user_bought_item,1.1390611875621428
popularity_rank,1.0278539308545218
user_section_count,0.9592362206569882
content_rank,0.8587857291209448
user_colour_count,0.6221894935506838
number_of_candidate_sources,0.5983527313462432
content_similarity_score,0.5220864142101719
user_item_purchase_count,0.5134082202026243
from_als,0.446558048719653
personal_history_score,0.3639681484349214
user_active_days,0.358786106173323
garment_group_name,0.25419078292236
user_total_purchases,0.237847714459322
colour_group_name,0.14686198958406912
from_popularity,0.1193661378241574
user_product_type_count,0.0009352661800037538
from_content_based,0.0
user_bought_item_before,0.0
department_name,0.0
section_name,0.0
